lr-Adadelta,step,train_loss,train/struct_loss,epoch,val_loss,val/struct_loss,val_lsm,val_ExpRate
1.0,0,,,,,,,
,1500,2.603447437286377,1.1661533117294312,0,,,,
1.0,1501,,,,,,,
,3001,2.137538433074951,0.44472736120224,1,,,,
1.0,3002,,,,,,,
,4502,1.9563853740692139,0.2987224757671356,2,,,,
1.0,4503,,,,,,,
,6003,1.8207511901855469,0.239915132522583,3,,,,
1.0,6004,,,,,,,
,7504,1.6992651224136353,0.2044510394334793,4,,,,
1.0,7505,,,,,,,
,9005,1.5668160915374756,0.19367994368076324,5,,,,
1.0,9006,,,,,,,
,10506,1.4269863367080688,0.1719047874212265,6,,,,
1.0,10507,,,,,,,
,12007,1.2853002548217773,0.16597937047481537,7,,,,
1.0,12008,,,,,,,
,13508,1.1475083827972412,0.15998739004135132,8,,,,
1.0,13509,,,,,,,
,15009,,,9,1.2885318994522095,0.1761142909526825,0.43599531054496765,0.10040567815303802
,15009,1.0290749073028564,0.15353082120418549,9,,,,
1.0,15010,,,,,,,
,16510,0.9305509924888611,0.1413818746805191,10,,,,
1.0,16511,,,,,,,
,18011,0.8490568995475769,0.13694915175437927,11,,,,
1.0,18012,,,,,,,
,19512,0.7877210378646851,0.12681831419467926,12,,,,
1.0,19513,,,,,,,
,21013,0.7285930514335632,0.10958533734083176,13,,,,
1.0,21014,,,,,,,
,22514,0.6781436800956726,0.09561452269554138,14,,,,
1.0,22515,,,,,,,
,24015,0.6326197385787964,0.0893298014998436,15,,,,
1.0,24016,,,,,,,
,25516,0.6004154086112976,0.08098012208938599,16,,,,
1.0,25517,,,,,,,
,27017,0.5613186359405518,0.07191232591867447,17,,,,
1.0,27018,,,,,,,
,28518,0.5353060364723206,0.07560868561267853,18,,,,
1.0,28519,,,,,,,
,30019,,,19,0.722043514251709,0.06228279694914818,0.6631476879119873,0.3133874237537384
,30019,0.5096391439437866,0.07028570771217346,19,,,,
1.0,30020,,,,,,,
,31520,0.4804856777191162,0.06609375774860382,20,,,,
1.0,31521,,,,,,,
,33021,0.46905773878097534,0.06318315863609314,21,,,,
1.0,33022,,,,,,,
,34522,0.45429345965385437,0.06053480878472328,22,,,,
1.0,34523,,,,,,,
,36023,0.4321334660053253,0.05961963161826134,23,,,,
1.0,36024,,,,,,,
,37524,0.4298628270626068,0.056696150451898575,24,,,,
1.0,37525,,,,,,,
,39025,0.41005393862724304,0.05679842829704285,25,,,,
1.0,39026,,,,,,,
,40526,0.4065203368663788,0.05473078414797783,26,,,,
1.0,40527,,,,,,,
,42027,0.39881229400634766,0.050539467483758926,27,,,,
1.0,42028,,,,,,,
,43528,0.3848041594028473,0.048934224992990494,28,,,,
1.0,43529,,,,,,,
,45029,,,29,0.6702941060066223,0.06919661164283752,0.6793096661567688,0.31744420528411865
,45029,0.37947747111320496,0.04832960292696953,29,,,,
1.0,45030,,,,,,,
,46530,0.3760514557361603,0.04585334286093712,30,,,,
1.0,46531,,,,,,,
,48031,0.3668404519557953,0.04676293954253197,31,,,,
1.0,48032,,,,,,,
,49532,0.3658985495567322,0.047315582633018494,32,,,,
1.0,49533,,,,,,,
,51033,0.35868149995803833,0.044871509075164795,33,,,,
1.0,51034,,,,,,,
,52534,0.35321080684661865,0.04401956498622894,34,,,,
1.0,52535,,,,,,,
,54035,0.3527105748653412,0.04340309277176857,35,,,,
1.0,54036,,,,,,,
,55536,0.3494913578033447,0.04390067607164383,36,,,,
1.0,55537,,,,,,,
,57037,0.34160593152046204,0.04415801167488098,37,,,,
1.0,57038,,,,,,,
,58538,0.3368442952632904,0.040897928178310394,38,,,,
1.0,58539,,,,,,,
,60039,,,39,0.6606152653694153,0.044893380254507065,0.7017375230789185,0.33772820234298706
,60039,0.336591899394989,0.040243037045001984,39,,,,
1.0,60040,,,,,,,
,61540,0.3322475254535675,0.04317393898963928,40,,,,
1.0,61541,,,,,,,
,63041,0.33002984523773193,0.03836001083254814,41,,,,
1.0,63042,,,,,,,
,64542,0.3284919857978821,0.040563296526670456,42,,,,
1.0,64543,,,,,,,
,66043,0.3249870836734772,0.03735404461622238,43,,,,
1.0,66044,,,,,,,
,67544,0.31767773628234863,0.03968217596411705,44,,,,
1.0,67545,,,,,,,
,69045,0.3144740164279938,0.037767842411994934,45,,,,
1.0,69046,,,,,,,
,70546,0.31118643283843994,0.0393274687230587,46,,,,
1.0,70547,,,,,,,
,72047,0.3118461072444916,0.03691625967621803,47,,,,
1.0,72048,,,,,,,
,73548,0.304409921169281,0.03891201317310333,48,,,,
1.0,73549,,,,,,,
,75049,,,49,0.61651611328125,0.045366622507572174,0.7191129922866821,0.3711967468261719
,75049,0.3140489459037781,0.040018416941165924,49,,,,
1.0,75050,,,,,,,
,76550,0.3062213063240051,0.03969169035553932,50,,,,
1.0,76551,,,,,,,
,78051,0.3031899333000183,0.038777098059654236,51,,,,
1.0,78052,,,,,,,
,79552,0.3030637204647064,0.037467073649168015,52,,,,
1.0,79553,,,,,,,
,81053,0.30639687180519104,0.03727935254573822,53,,,,
1.0,81054,,,,,,,
,82554,0.29962119460105896,0.03903242200613022,54,,,,
1.0,82555,,,,,,,
,84055,0.2986145317554474,0.03634931892156601,55,,,,
1.0,84056,,,,,,,
,85556,0.3045361638069153,0.0368468277156353,56,,,,
1.0,85557,,,,,,,
,87057,0.2988203167915344,0.036816682666540146,57,,,,
1.0,87058,,,,,,,
,88558,0.2978069484233856,0.0344482883810997,58,,,,
1.0,88559,,,,,,,
,90059,,,59,0.5915999412536621,0.04171222448348999,0.7314921617507935,0.3569979667663574
,90059,0.29509294033050537,0.03678379952907562,59,,,,
1.0,90060,,,,,,,
,91560,0.29086124897003174,0.036557476967573166,60,,,,
1.0,91561,,,,,,,
,93061,0.29464197158813477,0.03476041182875633,61,,,,
1.0,93062,,,,,,,
,94562,0.29485341906547546,0.03644172474741936,62,,,,
1.0,94563,,,,,,,
,96063,0.29201528429985046,0.03592385724186897,63,,,,
1.0,96064,,,,,,,
,97564,0.2921886742115021,0.0362122543156147,64,,,,
1.0,97565,,,,,,,
,99065,0.2885409891605377,0.03795946389436722,65,,,,
1.0,99066,,,,,,,
,100566,0.28926143050193787,0.03711075335741043,66,,,,
1.0,100567,,,,,,,
,102067,0.2861118018627167,0.035339560359716415,67,,,,
1.0,102068,,,,,,,
,103568,0.28966644406318665,0.03817847743630409,68,,,,
1.0,103569,,,,,,,
,105069,,,69,0.5365509390830994,0.04272764176130295,0.7515285015106201,0.42089250683784485
,105069,0.2810966372489929,0.03532073274254799,69,,,,
1.0,105070,,,,,,,
,106570,0.2851184606552124,0.03510291874408722,70,,,,
1.0,106571,,,,,,,
,108071,0.2812989056110382,0.03437774255871773,71,,,,
1.0,108072,,,,,,,
,109572,0.2785663306713104,0.03573473542928696,72,,,,
1.0,109573,,,,,,,
,111073,0.2794959545135498,0.03582806512713432,73,,,,
1.0,111074,,,,,,,
,112574,0.28211450576782227,0.03498638793826103,74,,,,
1.0,112575,,,,,,,
,114075,0.2765948474407196,0.03604406118392944,75,,,,
1.0,114076,,,,,,,
,115576,0.2801872193813324,0.0347912423312664,76,,,,
1.0,115577,,,,,,,
,117077,0.2780996561050415,0.033697571605443954,77,,,,
1.0,117078,,,,,,,
,118578,0.279319167137146,0.03624432906508446,78,,,,
1.0,118579,,,,,,,
,120079,,,79,0.5502974390983582,0.038395486772060394,0.7546917200088501,0.4148072898387909
,120079,0.2783656418323517,0.03544734790921211,79,,,,
1.0,120080,,,,,,,
