lr-Adadelta,step,train_seq_loss,train_struct_loss,train_pos_loss,train_total_loss,epoch,val_seq_loss,val_struct_loss,val_pos_loss,val_total_loss,val_ExpRate
1.0,176900,,,,,,,,,,
,177509,0.10898572951555252,0.020224209874868393,0.09188216179609299,0.08251949399709702,290,,,,,
1.0,177510,,,,,,,,,,
,178119,,,,,291,0.41435644030570984,0.05022858455777168,0.24488665163516998,0.28095701336860657,0.5091277956962585
,178119,0.11245458573102951,0.021486643701791763,0.09396008402109146,0.08508894592523575,291,,,,,
1.0,178120,,,,,,,,,,
,178729,0.10801858454942703,0.019831135869026184,0.09307751059532166,0.08223643898963928,292,,,,,
1.0,178730,,,,,,,,,,
,179339,,,,,293,0.41713395714759827,0.053662657737731934,0.26905617117881775,0.28924664855003357,0.5091277956962585
,179339,0.1112721711397171,0.020548049360513687,0.09373675286769867,0.08420727401971817,293,,,,,
1.0,179340,,,,,,,,,,
,179949,0.1144993007183075,0.021230729296803474,0.09492408484220505,0.08628830313682556,294,,,,,
1.0,179950,,,,,,,,,,
,180559,,,,,295,0.46278902888298035,0.06349314004182816,0.2557000517845154,0.31119272112846375,0.4716024398803711
,180559,0.10650761425495148,0.01942446269094944,0.09212440997362137,0.08114103972911835,295,,,,,
1.0,180560,,,,,,,,,,
,181169,0.10884875059127808,0.02041277289390564,0.09481193870306015,0.08323055505752563,296,,,,,
1.0,181170,,,,,,,,,,
,181779,,,,,297,0.4462853670120239,0.06323977559804916,0.2576542794704437,0.303366094827652,0.4929006099700928
,181779,0.11128565669059753,0.021728646010160446,0.09363318979740143,0.08448322117328644,297,,,,,
1.0,181780,,,,,,,,,,
,182389,0.10974231362342834,0.01961817964911461,0.09298556298017502,0.0830221027135849,298,,,,,
1.0,182390,,,,,,,,,,
,182999,,,,,299,0.43827784061431885,0.053502652794122696,0.2711920440196991,0.30031269788742065,0.5081135630607605
,182999,0.10590679943561554,0.02025865949690342,0.09271766245365143,0.08119750767946243,299,,,,,
0.1,183000,,,,,,,,,,
,183609,0.04696907103061676,0.007644986733794212,0.05218525975942612,0.03844207525253296,300,,,,,
0.1,183610,,,,,,,,,,
,184219,,,,,301,0.33562108874320984,0.04252287372946739,0.2201731950044632,0.23348461091518402,0.6064908504486084
,184219,0.03493353724479675,0.005043569952249527,0.041935618966817856,0.029211552813649178,301,,,,,
0.1,184220,,,,,,,,,,
,184829,0.030230583623051643,0.004276445135474205,0.03978576138615608,0.026130851358175278,302,,,,,
0.1,184830,,,,,,,,,,
,185439,,,,,303,0.3347043991088867,0.04282532259821892,0.22304968535900116,0.23382093012332916,0.5973630547523499
,185439,0.026678437367081642,0.004256359301507473,0.03637700155377388,0.023497553542256355,303,,,,,
0.1,185440,,,,,,,,,,
,186049,0.025415251031517982,0.0038671339862048626,0.03590136393904686,0.02264976315200329,304,,,,,
0.1,186050,,,,,,,,,,
,186659,,,,,305,0.3465009331703186,0.04438035190105438,0.24386394023895264,0.24531152844429016,0.6135902404785156
,186659,0.024441199377179146,0.0037288819439709187,0.03445862978696823,0.021767478436231613,305,,,,,
0.1,186660,,,,,,,,,,
,187269,0.023183777928352356,0.0036303207743912935,0.03307923302054405,0.020769260823726654,306,,,,,
0.1,187270,,,,,,,,,,
,187879,,,,,307,0.3323616087436676,0.04519159719347954,0.2430802583694458,0.23824885487556458,0.5993914604187012
,187879,0.021895529702305794,0.0037323080468922853,0.032066043466329575,0.019897369667887688,307,,,,,
0.1,187880,,,,,,,,,,
,188489,0.020884396508336067,0.003403818467631936,0.03182757645845413,0.019250044599175453,308,,,,,
0.1,188490,,,,,,,,,,
,189099,,,,,309,0.33148685097694397,0.04657834768295288,0.23509496450424194,0.23616182804107666,0.6004056930541992
,189099,0.020470304414629936,0.0035190714988857508,0.031783826649188995,0.01906086690723896,309,,,,,
0.1,189100,,,,,,,,,,
,189709,0.019859101623296738,0.003751867450773716,0.029852425679564476,0.018330615013837814,310,,,,,
0.1,189710,,,,,,,,,,
,190319,,,,,311,0.35074302554130554,0.048230137676000595,0.24374575912952423,0.24836553633213043,0.6064908504486084
,190319,0.01989595964550972,0.00357050821185112,0.029901759698987007,0.018316058441996574,311,,,,,
0.1,190320,,,,,,,,,,
,190929,0.01891951635479927,0.003602681215852499,0.029551833868026733,0.017748389393091202,312,,,,,
0.1,190930,,,,,,,,,,
,191539,,,,,313,0.3490670919418335,0.04830490052700043,0.24500097334384918,0.24786002933979034,0.5993914604187012
,191539,0.01836547628045082,0.003458017483353615,0.029536543413996696,0.01743140071630478,313,,,,,
0.1,191540,,,,,,,,,,
,192149,0.018382325768470764,0.0035713198594748974,0.029410718008875847,0.017436685040593147,314,,,,,
0.1,192150,,,,,,,,,,
,192759,,,,,315,0.37294456362724304,0.05119585245847702,0.2546024024486542,0.26292183995246887,0.6054766774177551
,192759,0.017808856442570686,0.003578198840841651,0.028701215982437134,0.016974281519651413,315,,,,,
0.1,192760,,,,,,,,,,
